L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu. Ciê¿ko odró¿niæ przy dwóch skrzy¿owaniach;Czas trwania nadawania sygna³u odjazdu (S)
R;223;59.002145376096;after;
R;259;59.002442318065;before;
R;277;59.002961893409;before;
R;265;59.00327891843;before;
R;295;59.00327891843;before;
L;241;59.553757075063;before;
L;277;59.665555943451;before;
R;265;60.001311968472;before;
R;109;60.001357798564;after;
R;43;60.001357799335;after;
R;253;60.001602993493;before;
R;271;60.001700815363;before;
R;229;60.001700816205;before;
R;73;60.001700826783;after;
R;121;60.001970371747;after;
R;169;60.002027377132;before;
R;175;60.002344405232;after;
R;121;60.002347366169;after;
R;187;60.002347376344;before;
R;271;60.002805797678;before;
R;73;60.002818825241;after;
R;127;60.002818826102;after;
R;211;60.002818828943;before;
R;43;60.003096813706;after;
R;229;60.003096822699;before;
R;301;60.003096822699;before;
R;157;60.003132381015;before;
R;187;60.003132384338;before;
R;55;60.003132394425;after;
L;277;60.645482943451;before;
S;139;61.000234894156;after;0.000234894156
R;127;61.00131892169;after;
R;163;61.001318921865;after;
R;187;61.001350384179;before;
R;295;61.001570968472;before;
R;259;61.001787318065;before;
R;55;61.001787323052;after;
R;223;61.002031377575;after;
R;121;61.00234340511;after;
R;193;61.0023434092;before;
R;235;61.002530406245;after;
R;139;61.002779949224;after;
R;277;61.002888993493;before;
R;283;62.00140133905;before;
R;121;62.001401352836;after;
R;307;62.001451075063;before;
R;175;62.001468463757;after;
R;283;62.001731373649;before;
R;55;62.00173138262;after;
R;73;62.001817870303;after;
R;301;62.001817872741;before;
R;301;62.002181863368;before;
R;73;62.002181866214;after;
R;73;62.002485875206;after;
R;271;62.002485888389;before;
R;43;62.00248588957;after;
R;241;62.002617489698;before;
R;169;62.002617493362;before;
R;265;62.002776018514;before;
R;301;62.002776887044;before;
R;271;62.002776897789;before;
R;43;62.002776904254;after;
R;253;62.003171043535;before;
L;247;62.426257100084;before;
L;277;62.429188993493;before;
L;55;62.527820389647;after;
L;121;62.527820394462;after;
L;259;62.52782039867;before;
L;325;62.52782039867;before;
R;223;63.001402432927;after;
R;295;63.001532018514;before;
R;193;63.001662459242;before;
R;247;63.001668100084;before;
R;235;63.001732459609;after;
R;163;63.002301980027;after;
R;325;63.00261139867;before;
R;139;63.00298301083;after;
R;277;63.003123043535;before;
R;187;63.003240484263;before;
R;259;63.003240484263;before;
L;271;63.129933912065;before;
L;121;63.161346409569;after;
L;283;63.161346423691;before;
L;307;63.216186125105;before;
R;325;64.001554455779;before;
R;121;64.00155445656;after;
R;175;64.00187952437;after;
R;283;64.0021314808;before;
R;331;64.0021314808;before;
R;301;64.002459937086;before;
R;307;64.002587125105;before;
R;331;64.002599482362;before;
R;55;64.002599486844;after;
R;265;64.002732068556;before;
R;43;64.002779905412;after;
R;127;64.002789953284;after;
R;271;64.002789962107;before;
R;121;64.002903517128;after;
R;253;64.003023093577;before;
R;73;64.003109935618;after;
R;169;64.003184554709;before;
L;325;64.109997505821;before;
L;277;64.322199043535;before;
L;247;64.451027150126;before;
R;223;65.001423474477;after;
R;187;65.001423484263;before;
R;193;65.002351489712;before;
R;187;65.002351492202;before;
R;103;65.002533552975;after;
R;295;65.002728068556;before;
R;169;65.002954564269;before;
R;151;65.002954581641;after;
R;181;65.002954584234;after;
R;223;65.003006509927;after;
R;193;65.003006517223;before;
R;277;65.003019093577;before;
R;301;65.003196981716;before;
L;271;65.264658006737;before;
L;127;65.264658010148;after;
L;325;65.652564507383;before;
R;253;66.001276093577;before;
R;331;66.001320532404;before;
R;265;66.001788118598;before;
R;175;66.001879613597;after;
R;307;66.001898175147;before;
R;73;66.001955935681;after;
R;181;66.00219664296;after;
R;169;66.002196643938;before;
R;43;66.00227296595;after;
R;301;66.002335031758;before;
R;55;66.002425547441;after;
R;151;66.002682674248;after;
R;175;66.002682674279;after;
R;325;66.002716557425;before;
R;121;66.002755577754;after;
R;163;66.002951052731;after;
R;271;66.002951056779;before;
L;277;66.124768093577;before;
L;247;66.254935200168;before;
R;337;67.001296200168;before;
R;193;67.001688567265;before;
R;307;67.001899225189;before;
R;277;67.002325093577;before;
R;343;67.002325093577;before;
R;331;67.002421582454;before;
R;223;67.002559557634;after;
R;301;67.002708074918;before;
R;325;67.002876568524;before;
R;283;67.002876582864;before;
R;331;67.002876586835;before;
R;295;67.002915118598;before;
R;187;67.003019592286;before;
R;259;67.003019592286;before;
R;181;67.003220473683;after;
R;313;67.00322049007;before;
L;295;67.284755118598;before;
L;325;67.567068611856;before;
L;349;67.567068611856;before;
L;223;67.567068616036;after;
L;163;67.607460097105;after;
R;331;68.001247636877;before;
R;271;68.001300099939;before;
