Typ wiadomoœci: L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
R;85;61.003319640926;before;
R;229;61.003319647432;after;
R;61;61.003319648703;before;
L;295;61.394822725567;before;
R;181;62.001306730817;before;
R;259;62.001306730817;before;
R;277;62.001636755838;before;
R;61;62.001844762889;before;
R;259;62.002096780859;before;
R;145;62.002417981228;before;
R;241;62.002450721487;before;
R;301;62.002564750588;before;
R;49;62.002681787407;before;
R;235;62.002681789926;after;
R;127;62.002852006249;before;
R;163;62.002852006249;before;
R;295;62.002881775609;before;
R;253;62.003235746508;before;
L;115;62.24152403127;before;
L;145;62.24152403127;before;
L;199;62.544444981228;before;
R;283;63.001413006249;before;
R;223;63.00144401775;after;
R;229;63.002053671645;after;
R;223;63.002053680534;after;
R;103;63.00205368223;before;
R;127;63.00205368223;before;
R;199;63.00231503127;before;
R;85;63.002321812931;before;
R;295;63.002584731929;before;
R;301;63.002584732576;before;
R;73;63.002651837952;before;
R;103;63.002651837952;before;
R;301;63.003132800636;before;
R;127;63.003137692035;before;
R;115;63.003137703859;before;
R;229;63.003137710993;after;
R;145;63.003137711719;before;
L;193;63.412234817407;after;
L;295;63.412234825657;before;
L;313;63.412234825657;before;
R;127;64.00132173674;before;
R;163;64.00132173674;before;
R;241;64.001410772748;before;
R;253;64.001410791093;before;
R;205;64.00146780588;before;
R;277;64.00146780588;before;
R;181;64.001797830901;before;
R;223;64.002275750075;after;
R;145;64.002275761761;before;
R;241;64.002468816114;before;
R;235;64.002468820337;after;
R;205;64.002569855922;before;
R;295;64.002634825657;before;
R;313;64.002634825657;before;
R;271;64.002951850678;before;
R;301;64.002951850678;before;
R;235;64.003032827013;after;
R;217;64.003032841135;before;
R;253;64.003032841135;before;
L;199;64.19815103127;before;
L;301;64.248807850678;before;
L;229;64.654602752496;after;
L;115;64.654602761761;before;
L;145;64.654602761761;before;
R;325;65.001304870768;before;
R;223;65.001543022089;after;
R;199;65.00154303127;before;
R;115;65.001590761761;before;
R;85;65.001627862973;before;
R;313;65.001868895789;before;
R;349;65.001868902156;before;
R;193;65.001868902312;after;
R;127;65.001881786782;before;
R;223;65.002003048337;after;
R;229;65.002003051466;after;
R;283;65.002003056291;before;
R;247;65.002113886932;before;
R;73;65.002113887994;before;
R;103;65.002113887994;before;
R;163;65.002294064731;before;
R;199;65.002294071662;before;
R;223;65.002294081927;after;
R;325;65.00252392081;before;
R;283;65.002650097767;before;
R;199;65.002650098994;before;
R;229;65.002650112388;after;
R;181;66.001298880943;before;
R;259;66.001298880943;before;
R;241;66.00167290072;before;
R;127;66.001893786782;before;
R;163;66.001893786782;before;
R;145;66.002340811803;before;
R;253;66.002353925741;before;
R;205;66.002356905964;before;
R;265;66.002356907446;before;
R;295;66.002426880515;before;
R;301;66.002426886052;before;
R;259;66.002611830901;before;
R;331;66.002611830901;before;
R;235;66.002756905443;after;
R;295;66.002756911073;before;
R;205;66.002993855922;before;
R;277;66.002993855922;before;
R;265;66.002993858806;before;
R;235;66.003203924927;after;
R;271;66.003203936094;before;
R;301;66.003203936094;before;
L;199;66.523083122788;before;
L;115;66.563017811803;before;
L;145;66.563017811803;before;
L;313;66.655907945831;before;
L;277;66.673819855922;before;
R;115;67.001343811803;before;
R;73;67.001536938036;before;
R;127;67.001660836824;before;
R;283;67.002151147809;before;
R;85;67.002152963057;before;
R;289;67.00215296674;before;
R;325;67.002414970852;before;
R;331;67.002451888183;before;
R;199;67.00245517283;before;
R;223;67.002827139688;after;
R;235;67.002978993434;after;
R;313;67.002978995873;before;
R;349;67.002978995873;before;
R;229;67.003157170152;after;
R;277;67.003210913204;before;
R;343;67.003210913204;before;
L;325;67.378450020894;before;
L;331;67.512022938225;before;
R;259;68.001256938225;before;
R;235;68.00142800664;after;
R;325;68.001428020894;before;
R;361;68.001428020894;before;
R;127;68.001503836824;before;
R;163;68.001503836824;before;
R;277;68.001573963246;before;
R;241;68.001612986136;before;
R;145;68.002002861845;before;
R;295;68.002145995873;before;
R;349;68.002395017407;before;
R;361;68.002395032552;before;
R;325;68.002395035144;before;
R;253;68.002736011157;before;
R;307;68.003060979535;before;
R;181;68.003060988267;before;
R;259;68.003060988267;before;
R;271;68.003100020894;before;
R;301;68.003100020894;before;
L;115;68.181142861845;before;
L;145;68.181142861845;before;
L;289;68.181142866204;before;
L;313;68.422521060165;before;
L;349;68.422521060165;before;
