L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
R;301;62.003213653662;before;
R;217;62.003213655843;before;
R;271;62.003213655843;before;
R;235;62.003213661691;before;
L;199;62.562167711951;before;
R;127;63.001619736972;before;
R;199;63.002110761993;before;
R;223;63.00211076842;after;
R;109;63.002339761993;before;
R;139;63.002339761993;before;
R;241;63.002630779052;before;
R;127;63.002630787014;before;
L;271;63.407660655843;before;
L;235;63.469948670916;before;
L;247;63.469948680864;before;
L;307;63.469948683045;before;
R;217;64.001440664336;before;
R;307;64.001440678683;before;
R;247;64.001440680864;before;
R;205;64.00167400049;before;
R;289;64.00167400049;before;
R;247;64.001731689357;before;
R;301;64.001731703704;before;
R;217;64.001731705885;before;
R;271;64.001731705885;before;
R;181;64.001965025511;before;
R;277;64.001965025511;before;
R;307;64.002022700031;before;
R;217;64.002022714378;before;
R;271;64.002022714378;before;
R;301;64.002022716559;before;
R;247;64.002391739399;before;
R;319;64.002391739399;before;
R;307;64.00239174158;before;
R;205;64.002659050532;before;
R;301;64.002781725052;before;
R;211;64.002781739399;before;
R;247;64.002781739399;before;
R;259;64.00278174158;before;
R;307;64.00278174158;before;
R;277;64.002992025511;before;
L;271;64.56813076442;before;
L;199;64.573659761993;before;
R;139;65.001359812265;before;
R;109;65.001359812353;before;
R;127;65.002105837516;before;
R;127;65.002443837692;before;
R;61;65.002443837783;before;
R;199;65.00263876203;before;
R;241;65.003059774235;before;
R;295;65.003059787088;before;
R;145;65.003059787137;before;
R;265;65.003059788647;before;
R;271;65.00318076442;before;
R;331;65.00318076442;before;
L;319;65.212654789441;before;
L;307;65.212654791622;before;
L;343;65.585975779549;before;
L;319;65.585975789441;before;
L;247;65.609432802296;before;
L;271;65.609432818824;before;
R;277;66.001401025511;before;
R;337;66.001401025511;before;
R;247;66.001452843845;before;
R;307;66.001452846026;before;
R;205;66.001705050532;before;
R;289;66.001705050532;before;
R;301;66.001894829498;before;
R;247;66.001894843845;before;
R;307;66.001894846026;before;
R;181;66.002828075553;before;
R;277;66.002828075553;before;
R;217;66.002861840172;before;
R;259;66.002861854519;before;
R;307;66.002861854519;before;
R;313;66.002861855293;before;
R;211;66.0028618567;before;
R;247;66.0028618567;before;
R;205;66.003158100574;before;
L;289;66.119888050532;before;
L;343;66.503603805876;before;
L;271;66.503603814462;before;
L;331;66.503603814462;before;
S;127;67.000241890707;before;0.000241890707
R;127;67.001325839792;before;
R;199;67.001450813595;before;
R;289;67.002216050532;before;
R;349;67.002216050532;before;
R;139;67.002513866499;before;
R;109;67.002513866565;after;
R;295;67.002599840102;before;
R;145;67.002599840175;before;
R;331;67.002756814462;before;
L;337;67.170766075553;before;
L;337;67.189057075553;before;
L;343;67.329235893067;before;
L;271;67.329235894576;before;
L;319;67.631558839483;before;
R;271;68.001392903741;before;
R;319;68.001392920269;before;
R;301;68.00154890525;before;
R;343;68.001696914415;before;
R;313;68.001696922925;before;
R;319;68.001696928762;before;
R;247;68.002000941617;before;
R;301;68.002000955964;before;
R;343;68.002000955964;before;
R;217;68.002000958145;before;
R;271;68.002000958145;before;
R;205;68.002069100574;before;
R;139;68.002135867416;before;
R;109;68.002338899235;after;
R;217;68.002616966638;before;
R;259;68.002616980985;before;
R;307;68.002616980985;before;
R;211;68.002616983166;before;
R;247;68.002616983166;before;
R;337;68.002745075553;before;
R;181;68.002854125595;before;
R;277;68.002854125595;before;
R;307;68.00294699384;before;
R;217;68.002947008187;before;
R;271;68.002947008187;before;
R;301;68.002947010368;before;
R;343;68.002947010368;before;
R;319;68.003116839483;before;
R;325;68.003145149923;before;
R;205;68.003145150616;before;
R;289;68.003145150616;before;
R;277;68.003436175637;before;
R;337;68.003436175637;before;
L;313;68.555010853497;before;
L;271;68.555010864504;before;
L;331;68.555010864504;before;
L;343;68.555010866685;before;
L;289;68.568083200658;before;
L;349;68.568083200658;before;
S;127;69.000241893117;after;0.000241893117
R;61;69.002199917418;before;
R;331;69.002319864504;before;
R;343;69.002319866685;before;
R;199;69.002771866377;before;
R;61;69.002846918364;before;
R;139;69.002846918818;after;
